"Name"
"3D Viewer"
"Clipchamp"
"Feedback Hub"
"Get Help"
"Microsoft 365 (Office)"
"Microsoft 365 - en-us"
"Microsoft 365 - es-es"
"Microsoft 365 - fr-fr"
"Microsoft 365 - pt-br"
"Microsoft Family"
"Microsoft OneDrive"
"Microsoft OneNote - en-us"
"Microsoft OneNote - es-es"
"Microsoft OneNote - fr-fr"
"Microsoft OneNote - en-us"
"Microsoft OneNote - pt-br"
"Microsoft Pay"
"Microsoft People"
"Microsoft Teams"
"Microsoft Tips"
"Microsoft Tips"
"Microsoft To Do"
"Mixed Reality Portal"
"MSN Weather"
"News"
"Office"
"OneDrive"
"Outlook for Windows"
"Paint"
"Paint 3D"
"Phone Link"
"Power Automate"
"Skype"
"Xbox"
"Windows Maps"
"Hearts Deluxe"
"Microsoft Solitaire Collection"
"Simple Mahjong"
"Simple Solitaire"
"Simple Spider Solitaire"
"Solitaire & Casual Games"
"Solitaire"
"Spades"
"WildTangent Games"
"Disney+"
"Dropbox promotion"
"Evernote"
"ExpressVPN"
"Groove Music"
"Mirkat"
"Mozilla Firefox (x64 en-US)"
"Mozilla Firefox 88.0 (x64 en-US)"
"Mozilla Maintenance Service"
"Spotify Music"
"Amazon"
"Lenovo Companion"
"Lenovo Voice"
"Lenovo Hotkeys"
"Lenovo Now"
"Lenovo Voice Service"
"Lenovo Smart Meeting"
"Acer Product Registration"
"PhotoDirector for acer"
"User Experience Improvement Program V5"
"VeroSense"
"Acer Purified Voice Console"
"Acer Jumpstart"
"Acer Configuration Manager"
"User Experience Improvement Program Service"
"Quick Access Service"
"Dell Customer Connect"
"Dell Digital Delivery"
"Dell Digital Delivery Services"
"Dell Mobile Connect"
"Media Suite Essentials for Dell"
"My Dell"
"Partner Promo"
"Power2Go for Dell"
"PowerDirector for Dell"
"Power Media Player for Dell"
"SmartByte"
"SmartByte Drivers and Services"
"Dell Core Services"
"Dell Optimizer Core"
"Dell Trusted Device Agent"
"Dell Command | Update for Windows Universal"
"Dell Pair"
"Dell Peripheral Manager"
"Dell Display Manager 2.1"
"Dell Peripheral Manager"
"Dell Trusted Device Agent"
"Dell Optimizer Core"
"Dell Watchdog Timer"
"HP Smart"
"HP Documentation"
"HP Connection Optimizer"
"Poly Lense"
"HP Notifications"
"HP Wolf Security"
"HP Wolf Security - Console"
"HP Security Update Service"
"OMEN Gaming Hub"
"YouTube"
"Sheets"
"Docs"
"Gmail"
"Google Drive"
"McAfee LiveSafe"
"McAfee"
"McAfee®"
"McAfee® Personal Security"
"Norton Security Ultra"
"Norton Security"
"WebAdvisor by McAfee"
"Norton 360"
