"Name"
"Clipchamp.Clipchamp"
"Microsoft.BioEnrollment"
"Microsoft.Copilot"
"Microsoft.GetHelp"
"Microsoft.OneDriveSync"
"Microsoft.Services.Store.Engagement"
"Microsoft.StorePurchaseApp"
"Microsoft.Windows.NarratorQuickStart"
"Microsoft.Windows.OOBENetworkCaptivePortal"
"Microsoft.Windows.OOBENetworkConnectionFlow"
"Microsoft.Windows.ParentalControls"
"Microsoft.Windows.PeopleExperienceHost"
"MSTeams"
"NcsiUwpApp"
"RealtekSemiconductorCorp.RealtekAudioControl"
"Windows.CBSPreview"
"windows.immersivecontrolpanel"
"Windows.PrintDialog"
